                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.8888,                 2.4942,                 1.3655,                0.62083,                0.28254,                0.41229,                 0.3023,                 1.8892,                 2.7844,                 1.3978,               0.001585,               0.001585,               0.001585
                     87,                 1.8849,                 2.4891,                 1.3622,                0.62415,                0.28268,                0.41085,                0.30193,                 1.8983,                 2.7889,                 1.3997,               0.001486,               0.001486,               0.001486
                     88,                 1.8901,                 2.4898,                  1.355,                0.62623,                0.28171,                0.41093,                0.30172,                 1.9088,                 2.7918,                 1.4017,               0.001387,               0.001387,               0.001387
                     89,                 1.8617,                 2.4595,                 1.3509,                 0.6316,                0.27982,                0.40952,                0.30087,                  1.919,                 2.7972,                 1.4034,               0.001288,               0.001288,               0.001288
                     90,                  1.809,                 2.4355,                 1.3398,                0.63623,                0.27907,                0.40761,                    0.3,                 1.9327,                 2.8023,                 1.4051,               0.001189,               0.001189,               0.001189
                     91,                  1.797,                 2.4282,                 1.3399,                0.63643,                0.27809,                0.40665,                0.29919,                 1.9424,                 2.8048,                 1.4064,                0.00109,                0.00109,                0.00109
                     92,                 1.7954,                 2.4272,                 1.3422,                0.63683,                0.27657,                0.40545,                0.29897,                  1.947,                  2.809,                 1.4066,               0.000991,               0.000991,               0.000991
                     93,                 1.7803,                 2.4068,                 1.3323,                0.63797,                0.27514,                 0.4038,                0.29837,                 1.9538,                 2.8122,                 1.4072,               0.000892,               0.000892,               0.000892
                     94,                 1.7759,                 2.4093,                 1.3375,                0.63904,                0.27469,                0.40281,                0.29824,                 1.9562,                 2.8163,                 1.4074,               0.000793,               0.000793,               0.000793
                     95,                 1.7636,                 2.3914,                   1.33,                0.64078,                0.27393,                0.40155,                0.29765,                  1.962,                 2.8227,                 1.4086,               0.000694,               0.000694,               0.000694
                     96,                 1.7591,                 2.3915,                 1.3323,                0.64189,                0.27351,                0.40064,                0.29771,                 1.9642,                 2.8279,                 1.4088,               0.000595,               0.000595,               0.000595
                     97,                 1.7432,                 2.3609,                 1.3204,                 0.6478,                0.27309,                0.39897,                0.29696,                 1.9748,                 2.8335,                 1.4113,               0.000496,               0.000496,               0.000496
                     98,                 1.7423,                 2.3575,                 1.3166,                0.65009,                0.27304,                0.39867,                0.29665,                 1.9815,                 2.8402,                 1.4129,               0.000397,               0.000397,               0.000397
